Epoch,train loss,train accuracy,val loss,val accuracy
1,0.9154328919931262,81.65833333333333,0.8335941977138761,85.0
2,0.7739330612774342,88.14833333333333,0.7829598980613902,88.69
3,0.7392022632586677,89.76166666666667,0.7793250031109098,87.72
4,0.7193480120030548,90.55666666666667,0.7172417610506469,90.49
5,0.7055528533738306,91.175,0.7230111043664473,90.02
6,0.6947154517112765,91.62666666666667,0.6976452794256089,91.45
7,0.688633466580275,91.92,0.6834684248212017,92.05
8,0.6833616286706823,92.12666666666667,0.6943243266660956,91.58
9,0.6778195745655214,92.34833333333333,0.6871530896500696,91.81
10,0.6742303549353756,92.54166666666667,0.7046171773838091,91.41
